"Ingredient","Name of the recipe","Instructions"
"Pork belly, coconut milk, shrimp paste, chili peppers, onions, garlic, ginger","Bicol Express","Cut pork belly into strips. Sauté garlic, onions, and ginger. Add pork and cook until browned. Add shrimp paste and chili peppers. Pour coconut milk and simmer until thick. Season with salt and pepper."
"Taro leaves, coconut milk, pork or shrimp, chili peppers, onions, garlic, ginger","Laing","Clean taro leaves and remove stems. Sauté garlic, onions, and ginger. Add pork/shrimp and cook. Add taro leaves and coconut milk. Add chili peppers. Simmer until leaves are tender."
"Pork, coconut milk, string beans, squash, chili peppers, onions, garlic","Pinangat na Baboy","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add vegetables and coconut milk. Add chili peppers. Simmer until meat is tender and sauce is thick."
"Fish, coconut milk, kamote leaves, chili peppers, onions, garlic, ginger","Pinangat na Isda","Clean fish and cut into pieces. Sauté garlic, onions, ginger. Add fish and lightly fry. Add coconut milk and chili peppers. Add kamote leaves. Simmer until fish is cooked."
"Pork belly, soy sauce, vinegar, garlic, bay leaves, peppercorns, sugar","Adobo","Cut pork into cubes. Marinate in soy sauce and vinegar for 30 minutes. Sauté garlic until golden. Add pork and marinate. Add bay leaves and peppercorns. Simmer until tender."
"Chicken, soy sauce, vinegar, garlic, bay leaves, peppercorns, potatoes","Chicken Adobo","Cut chicken into pieces. Marinate in soy sauce and vinegar. Sauté garlic. Add chicken and marinate. Add bay leaves, peppercorns, and potatoes. Simmer until chicken is tender."
"Pork belly, liver, tomato sauce, bell peppers, onions, garlic, soy sauce","Menudo","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook until browned. Add liver and tomato sauce. Add bell peppers and soy sauce. Simmer until meat is tender."
"Beef, potatoes, carrots, onions, garlic, tomato sauce, soy sauce","Kaldereta","Cut beef into cubes. Sauté garlic and onions. Add beef and brown. Add tomato sauce and soy sauce. Add potatoes and carrots. Simmer until beef is tender."
"Pork shoulder, liver, soy sauce, vinegar, garlic, bay leaves, sugar","Humba","Cut pork into cubes. Marinate in soy sauce and vinegar. Sauté garlic. Add pork and liver. Add bay leaves and sugar. Simmer until pork is tender and sauce is thick."
"Milkfish, tomatoes, onions, garlic, ginger, tamarind, kangkong","Sinigang na Bangus","Clean milkfish and cut into steaks. Boil water with tamarind. Add tomatoes, onions, garlic, ginger. Add fish and simmer. Add kangkong leaves. Season with salt."
"Pork ribs, tamarind, tomatoes, onions, kangkong, radish, string beans","Sinigang na Baboy","Cut pork ribs into pieces. Boil water with tamarind. Add pork and simmer until tender. Add vegetables in order of cooking time. Add kangkong last. Season with salt."
"Shrimp, tamarind, tomatoes, onions, kangkong, radish, string beans","Sinigang na Hipon","Clean shrimp. Boil water with tamarind. Add tomatoes and onions. Add vegetables and simmer. Add shrimp last and cook until pink. Add kangkong. Season with salt."
"Beef short ribs, corn, cabbage, potatoes, onions, garlic, fish sauce","Nilaga","Cut beef into pieces. Boil beef with onions until tender. Add corn and potatoes. Add cabbage last. Season with fish sauce and salt. Serve hot with steamed rice."
"Pork, shrimp, tofu, kangkong, string beans, squash, bagoong","Dinengdeng","Cut pork into pieces and boil until tender. Add vegetables in order of cooking time. Add tofu and shrimp. Season with bagoong. Add kangkong last."
"Pork belly, blood, vinegar, onions, garlic, chili peppers, salt","Dinuguan","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook. Add blood and vinegar. Add chili peppers. Simmer until thick. Season with salt."
"Beef, onions, garlic, soy sauce, calamansi, pepper, cooking oil","Bistek Tagalog","Slice beef thinly. Marinate in soy sauce and calamansi. Sauté onions until soft. Set aside. Cook marinated beef in same pan. Return onions on top. Serve with rice."
"Pork belly, soy sauce, brown sugar, garlic, onions, bay leaves","Paksiw na Lechon","Cut lechon into pieces. Sauté garlic and onions. Add lechon pieces and brown. Add soy sauce, brown sugar, and bay leaves. Simmer until sauce is thick."
"Chicken, coconut milk, lemongrass, ginger, onions, garlic, chili peppers","Chicken Tinola","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add water and lemongrass. Add chili peppers and coconut milk. Simmer until chicken is tender."
"Fish, coconut milk, malunggay leaves, ginger, onions, garlic","Fish Tinola","Clean fish and cut into steaks. Sauté garlic, onions, ginger. Add fish and lightly fry. Add water and simmer. Add coconut milk and malunggay leaves. Season with salt."
"Pork belly, coconut milk, taro, string beans, squash, shrimp paste","Ginataang Baboy","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and simmer. Add vegetables and shrimp paste. Cook until vegetables are tender."
"Fish, coconut milk, kangkong, okra, eggplant, squash, bagoong","Ginataang Isda","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and vegetables. Season with bagoong. Simmer until fish is cooked."
"Pork shoulder, tomatoes, onions, garlic, potatoes, carrots, soy sauce","Afritada","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add tomatoes and cook until soft. Add potatoes, carrots, and soy sauce. Simmer until meat is tender."
"Chicken, tomatoes, onions, garlic, potatoes, carrots, bell peppers","Chicken Afritada","Cut chicken into pieces. Sauté garlic and onions. Add chicken and cook until browned. Add tomatoes and cook until soft. Add vegetables. Simmer until chicken is tender."
"Pork belly, onions, garlic, soy sauce, vinegar, bay leaves, peppercorns","Paksiw na Baboy","Cut pork belly into cubes. Sauté garlic and onions. Add pork and brown. Add soy sauce, vinegar, bay leaves, and peppercorns. Simmer until pork is tender."
"Beef, onions, garlic, ginger, tomatoes, potatoes, fish sauce","Bulalo","Cut beef shank into pieces with marrow. Boil beef until tender. Add onions, garlic, ginger. Add tomatoes and potatoes. Season with fish sauce. Simmer until vegetables are cooked."
"Pork belly, coconut milk, green beans, eggplant, okra, squash","Ginataang Gulay","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and simmer. Add vegetables in order of cooking time. Season with salt."
"Chicken, coconut milk, green papaya, chili leaves, ginger, onions","Chicken Ginataang Papaya","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add coconut milk and green papaya. Add chili leaves. Simmer until chicken is tender."
"Pork belly, coconut milk, banana heart, string beans, squash","Ginataang Puso ng Saging","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and banana heart. Add string beans and squash. Simmer until vegetables are tender."
